"Otu215","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","other"
"Otu216","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu217","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu218","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis"
"Otu219","Bacteria","Firmicutes","other","other","other","other"
"Otu22","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu220","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu221","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu222","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu223","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","other"
"Otu23","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"Otu24","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Dysosmobacter"
"Otu25","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu26","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Eisenbergiella"
"Otu27","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu28","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu29","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","other","other"
"Otu30","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu31","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu32","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Otu33","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu34","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu35","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu36","Bacteria","Firmicutes","Clostridia","other","other","other"
"Otu37","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter"
"Otu38","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu39","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"Otu4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum"
"Otu40","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Neglecta"
"Otu41","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu42","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Schaalia"
"Otu43","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu44","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Ihubacter"
"Otu45","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu46","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu47","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria"
"Otu48","Bacteria","Firmicutes","other","other","other","other"
"Otu49","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu5","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu50","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma"
"Otu51","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu52","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Otu53","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu54","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu55","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu56","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu57","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Lawsonibacter"
"Otu58","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu59","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Otu6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","other"
"Otu60","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu61","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flintibacter"
"Otu62","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella"
"Otu63","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu64","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flintibacter"
"Otu65","Bacteria","Firmicutes","other","other","other","other"
"Otu66","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola"
"Otu67","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu68","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"Otu69","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu7","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu70","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu71","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Otu72","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"Otu73","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu74","Bacteria","Firmicutes","other","other","other","other"
"Otu75","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria"
"Otu76","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Phocea"
"Otu77","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu78","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu79","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu8","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","other"
"Otu80","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Otu81","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu82","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu83","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Schaedlerella"
"Otu84","Bacteria","Candidatus_Saccharibacteria","Saccharibacteria_genera_incertae_sedis","other","other","other"
"Otu85","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu86","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"Otu87","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella"
"Otu88","Eukaryota","Plantae","Liliopsida","Poales","Poaceae","Zea"
"Otu89","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"Otu9","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum"
"Otu90","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu91","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu92","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu93","Bacteria","other","other","other","other","other"
"Otu94","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu95","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu96","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","other","other"
"Otu97","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"Otu98","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu99","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"X.OTU.ID","Kingdom","phylum","class","order","family","genus"
"X.OTU.ID","Kingdom","phylum","class","order","family","genus"
"X.OTU.ID","phylum","class","order","family","genus","species"
